THOMAS MILTON        202-113-5748
info PARRISH TIM        953-731-4520 swapped w/ KIRK IMOGENE        204-228-8245
joe
 inc is 221 dec 391
info SHAFFER LILIA        429-774-4888 swapped w/ MATHIS VICTOR        729-933-6569
joe
 inc is 223 dec 389
info PIERCE JONI        601-261-4398 swapped w/ KENNEDY NORMAND        343-247-1251
joe
 inc is 224 dec 388
info MEJIA BERT        864-800-1614 swapped w/ LAMB WAYNE        541-491-4920
joe
 inc is 225 dec 386
info ROMERO GAIL        583-233-2525 swapped w/ LANCASTER AILEEN        320-483-5598
joe
 inc is 226 dec 381
info NOLAN ORA        303-632-4697 swapped w/ MCFADDEN ROSCOE        387-347-3380
joe
 inc is 228 dec 369
info MELENDEZ WELDON        573-373-7129 swapped w/ LOTT LILIANA        243-281-7498
joe
 inc is 229 dec 367
info RYAN ELBERT        740-183-6713 swapped w/ LEBLANC GARRY        940-350-3378
joe
 inc is 230 dec 366
info PRICE STEVEN        494-795-7029 swapped w/ KELLER JULIANNE        691-699-2156
joe
 inc is 231 dec 365
info MERCADO HARRISON        649-616-2248 swapped w/ MADDEN DELMER        812-778-4186
joe
 inc is 232 dec 364
info SIMPSON MARIANA        687-148-9388 swapped w/ MACIAS SAMMY        328-287-6961
joe
 inc is 233 dec 363
info MELTON STEPHEN        261-556-3378 swapped w/ MCDANIEL BERNARD        241-280-9155
joe
 inc is 234 dec 360
info RIVERS DIXIE        217-652-6942 swapped w/ MCCALL MICAH        611-414-9545
joe
 inc is 235 dec 355
info REESE ALYSON        456-354-9670 swapped w/ KEITH KEN        901-877-5620
joe
 inc is 238 dec 354
info POTTS FRANCIS        372-572-9572 swapped w/ MARKS OLIVE        688-889-8964
joe
 inc is 239 dec 352
info MIDDLETON SEYMOUR        384-824-3024 swapped w/ MANNING LETICIA        937-297-9810
joe
 inc is 240 dec 345
info ROBERTS EMANUEL        464-354-5702 swapped w/ LANE CASSIE        262-565-3323
joe
 inc is 241 dec 343
info RHODES WENDELL        810-812-5581 swapped w/ KEITH CARISSA        821-352-7955
joe
 inc is 242 dec 339
info MUELLER SAM        586-890-1076 swapped w/ MALONE NATALIE        345-210-9700
joe
 inc is 243 dec 334
info MOSS LADONNA        601-976-6488 swapped w/ LESTER DONA        334-356-3342
joe
 inc is 245 dec 331
info MOORE LYNNE        283-154-6491 swapped w/ LANG EMANUEL        437-511-6989
joe
 inc is 246 dec 327
info SCHROEDER MICKEY        730-186-3375 swapped w/ MANN NADINE        581-775-4365
joe
 inc is 247 dec 325
info POTTS JARED        260-997-6760 swapped w/ MACIAS MARLA        653-406-7844
joe
 inc is 248 dec 312
info RUIZ LESLEY        421-537-8594 swapped w/ LEBLANC MIA        542-581-2683
joe
 inc is 250 dec 308
info SAWYER KATINA        203-958-2322 swapped w/ KNOX TODD        761-769-2447
joe
 inc is 251 dec 303
info POOLE NORMAN        853-462-2567 swapped w/ LOGAN DEVON        597-263-5757
joe
 inc is 252 dec 297
info MIDDLETON ANTWAN        251-704-1538 swapped w/ MALDONADO BELINDA        240-574-4796
joe
 inc is 253 dec 295
info RAY BETSY        569-749-8612 swapped w/ LUNA PARKER        743-355-8451
joe
 inc is 254 dec 294
info RIOS MADGE        783-342-1637 swapped w/ LEONARD ANGIE        313-720-4706
joe
 inc is 255 dec 290
info SPEARS CONNIE        351-570-2398 swapped w/ MALDONADO VIRGIE        697-830-5132
joe
 inc is 258 dec 289
info PITTS FLOYD        646-652-8446 swapped w/ MACIAS AGNES        662-858-3385
joe
 inc is 259 dec 284
info OBRIEN TOBY        884-682-9271 swapped w/ MCCARTHY CLARA        486-931-7594
joe
 inc is 260 dec 280
info MUNOZ PANSY        474-851-6445 swapped w/ KNOX MAURO        897-778-1856
joe
 inc is 262 dec 278
info MERCADO TIA        749-431-2579 swapped w/ JUSTICE AUGUST        708-731-8109
joe
 inc is 264 dec 272
info SINGLETON KRISTIN        533-871-3422 swapped w/ MCCORMICK LEROY        454-916-1100
joe
 inc is 268 dec 269
 inc is 270 dec 269
start 219 end 269
 main execution 
hellend 
at 269 and 269
pivindex MCFARLAND JAMAAL        948-891-3496 and end is MCFARLAND JAMAAL        948-891-3496
info MCGUIRE MARLENE        874-162-4898 swapped w/ MATHIS ANNABELLE        764-644-6496
joe
 inc is 263 dec 267
 inc is 268 dec 267
start 219 end 267
 main execution 
hellend 
at 267 and 267
pivindex MCCORMICK LEROY        454-916-1100 and end is MCCORMICK LEROY        454-916-1100
info MCFADDEN ROSCOE        387-347-3380 swapped w/ LEVINE RODNEY        394-378-9512
joe
 inc is 228 dec 265
info MCDANIEL BERNARD        241-280-9155 swapped w/ LYNN MATT        419-783-7680
joe
 inc is 234 dec 264
 inc is 265 dec 264
start 219 end 264
 main execution 
hellend 
at 264 and 264
pivindex MASSEY BENNIE        300-814-1898 and end is MASSEY BENNIE        300-814-1898
info MATHIS VICKY        564-383-7427 swapped w/ JUSTICE AUGUST        708-731-8109
joe
 inc is 220 dec 262
info MATHIS VICTOR        729-933-6569 swapped w/ KNOX MAURO        897-778-1856
joe
 inc is 223 dec 260
info MCCALL MICAH        611-414-9545 swapped w/ MARSH BERTHA        932-887-8800
joe
 inc is 235 dec 259
info MCCARTHY FIDEL        583-750-7957 swapped w/ MACIAS AGNES        662-858-3385
joe
 inc is 236 dec 257
info MATHEWS JAY        387-474-3628 swapped w/ MALDONADO VIRGIE        697-830-5132
joe
 inc is 237 dec 256
info MAYS JUSTINE        900-615-8718 swapped w/ LOWERY LEANNA        832-148-1703
joe
 inc is 244 dec 255
 inc is 255 dec 254
start 219 end 254
 main execution 
hellend 
at 254 and 254
pivindex LEONARD ANGIE        313-720-4706 and end is LEONARD ANGIE        313-720-4706
info LINDSEY ANGIE        564-887-8256 swapped w/ KNOX TODD        761-769-2447
joe
 inc is 222 dec 249
info LEVINE RODNEY        394-378-9512 swapped w/ LEBLANC MIA        542-581-2683
joe
 inc is 228 dec 248
info LOTT LILIANA        243-281-7498 swapped w/ KEY CARA        913-601-8686
joe
 inc is 229 dec 247
info MADDEN DELMER        812-778-4186 swapped w/ LANG EMANUEL        437-511-6989
joe
 inc is 232 dec 244
info MACIAS SAMMY        328-287-6961 swapped w/ KEITH CARISSA        821-352-7955
joe
 inc is 233 dec 240
info LYNN MATT        419-783-7680 swapped w/ LANE CASSIE        262-565-3323
joe
 inc is 234 dec 239
info MARSH BERTHA        932-887-8800 swapped w/ KEITH KEN        901-877-5620
joe
 inc is 235 dec 236
 inc is 235 dec 234
start 219 end 234
 main execution 
hellend 
at 234 and 234
pivindex KEITH KEN        901-877-5620 and end is KEITH KEN        901-877-5620
info KIRK IMOGENE        204-228-8245 swapped w/ KEITH CARISSA        821-352-7955
joe
 inc is 221 dec 231
 inc is 221 dec 220
start 219 end 220
start 222 end 234
 main execution 
hellend 
at 234 and 234
pivindex KNOX TODD        761-769-2447 and end is KNOX TODD        761-769-2447
info LAMB WAYNE        541-491-4920 swapped w/ KIRK IMOGENE        204-228-8245
joe
 inc is 225 dec 231
info LANCASTER AILEEN        320-483-5598 swapped w/ KELLER JULIANNE        691-699-2156
joe
 inc is 226 dec 229
info LEBLANC MIA        542-581-2683 swapped w/ KEY CARA        913-601-8686
joe
 inc is 228 dec 227
start 222 end 227
 main execution 
hellend 
at 227 and 227
pivindex KEY CARA        913-601-8686 and end is KEY CARA        913-601-8686
info KNOX MAURO        897-778-1856 swapped w/ KELLER JULIANNE        691-699-2156
joe
 inc is 223 dec 224
 inc is 224 dec 223
start 222 end 223
start 225 end 227
 main execution 
hellend 
at 227 and 227
pivindex KIRK IMOGENE        204-228-8245 and end is KIRK IMOGENE        204-228-8245
info KNOX MAURO        897-778-1856 swapped w/ KNOX MAURO        897-778-1856
joe
 inc is 226 dec 224
start 225 end 225
return 1 and 0
start 227 end 227
return 1 and 0
start 229 end 234
 main execution 
hellend 
at 234 and 234
pivindex LEBLANC MIA        542-581-2683 and end is LEBLANC MIA        542-581-2683
 inc is 234 dec 233
start 229 end 233
 main execution 
hellend 
at 233 and 233
pivindex LANE CASSIE        262-565-3323 and end is LANE CASSIE        262-565-3323
info LEBLANC GARRY        940-350-3378 swapped w/ LAMB WAYNE        541-491-4920
joe
 inc is 230 dec 231
 inc is 231 dec 230
start 229 end 230
start 232 end 233
start 235 end 234
return 1 and -1
start 236 end 254
 main execution 
hellend 
at 254 and 254
pivindex MACIAS AGNES        662-858-3385 and end is MACIAS AGNES        662-858-3385
info MALDONADO VIRGIE        697-830-5132 swapped w/ LUNA PARKER        743-355-8451
joe
 inc is 237 dec 252
info MARSH BERTHA        932-887-8800 swapped w/ LOGAN DEVON        597-263-5757
joe
 inc is 238 dec 250
info MARKS OLIVE        688-889-8964 swapped w/ LINDSEY ANGIE        564-887-8256
joe
 inc is 239 dec 249
info MANNING LETICIA        937-297-9810 swapped w/ LEVINE RODNEY        394-378-9512
joe
 inc is 240 dec 248
info MACIAS SAMMY        328-287-6961 swapped w/ LOTT LILIANA        243-281-7498
joe
 inc is 242 dec 247
info MALONE NATALIE        345-210-9700 swapped w/ LESTER DONA        334-356-3342
joe
 inc is 243 dec 243
 inc is 244 dec 243
start 236 end 243
 main execution 
hellend 
at 243 and 243
pivindex LOWERY LEANNA        832-148-1703 and end is LOWERY LEANNA        832-148-1703
info LUNA PARKER        743-355-8451 swapped w/ LESTER DONA        334-356-3342
joe
 inc is 237 dec 241
info LYNN MATT        419-783-7680 swapped w/ LOTT LILIANA        243-281-7498
joe
 inc is 241 dec 240
start 236 end 240
 main execution 
hellend 
at 240 and 240
pivindex LOTT LILIANA        243-281-7498 and end is LOTT LILIANA        243-281-7498
 inc is 240 dec 239
start 236 end 239
 main execution 
hellend 
at 239 and 239
pivindex LEVINE RODNEY        394-378-9512 and end is LEVINE RODNEY        394-378-9512
 inc is 237 dec 236
start 236 end 236
return 1 and 0
start 238 end 239
start 241 end 240
return 1 and -1
start 242 end 243
start 245 end 254
 main execution 
hellend 
at 254 and 254
pivindex MALONE NATALIE        345-210-9700 and end is MALONE NATALIE        345-210-9700
info MANN NADINE        581-775-4365 swapped w/ MALDONADO VIRGIE        697-830-5132
joe
 inc is 247 dec 252
info MANNING LETICIA        937-297-9810 swapped w/ MALDONADO BELINDA        240-574-4796
joe
 inc is 250 dec 251
 inc is 250 dec 249
start 245 end 249
 main execution 
hellend 
at 249 and 249
pivindex MALDONADO BELINDA        240-574-4796 and end is MALDONADO BELINDA        240-574-4796
info MALDONADO VIRGIE        697-830-5132 swapped w/ MACIAS SAMMY        328-287-6961
joe
 inc is 247 dec 247
 inc is 248 dec 247
start 245 end 247
 main execution 
hellend 
at 247 and 247
pivindex MACIAS MARLA        653-406-7844 and end is MACIAS MARLA        653-406-7844
info MADDEN DELMER        812-778-4186 swapped w/ MADDEN DELMER        812-778-4186
joe
 inc is 246 dec 244
start 245 end 245
return 1 and 0
start 247 end 247
return 1 and 0
start 249 end 249
return 1 and 0
start 251 end 254
 main execution 
hellend 
at 254 and 254
pivindex MARKS OLIVE        688-889-8964 and end is MARKS OLIVE        688-889-8964
info MARSH BERTHA        932-887-8800 swapped w/ MANN NADINE        581-775-4365
joe
 inc is 252 dec 252
 inc is 253 dec 252
start 251 end 252
start 254 end 254
return 1 and 0
start 256 end 264
 main execution 
hellend 
at 264 and 264
pivindex MCBRIDE TAMERA        310-198-8121 and end is MCBRIDE TAMERA        310-198-8121
info MCCARTHY FIDEL        583-750-7957 swapped w/ MATHIS VICKY        564-383-7427
joe
 inc is 259 dec 262
info MCCARTHY CLARA        486-931-7594 swapped w/ MATHIS ANNABELLE        764-644-6496
joe
 inc is 260 dec 261
info MCCALL MICAH        611-414-9545 swapped w/ MATHIS VICTOR        729-933-6569
joe
 inc is 261 dec 260
start 256 end 260
 main execution 
hellend 
at 260 and 260
pivindex MATHIS VICTOR        729-933-6569 and end is MATHIS VICTOR        729-933-6569
info MAYS JUSTINE        900-615-8718 swapped w/ MATHIS ANNABELLE        764-644-6496
joe
 inc is 257 dec 258
 inc is 259 dec 258
start 256 end 258
 main execution 
hellend 
at 258 and 258
pivindex MATHIS VICKY        564-383-7427 and end is MATHIS VICKY        564-383-7427
 inc is 258 dec 257
start 256 end 257
start 259 end 258
return 1 and -1
start 260 end 260
return 1 and 0
start 262 end 264
 main execution 
hellend 
at 264 and 264
pivindex MCCALL MICAH        611-414-9545 and end is MCCALL MICAH        611-414-9545
info MCCARTHY CLARA        486-931-7594 swapped w/ MCCARTHY CLARA        486-931-7594
joe
 inc is 263 dec 261
start 262 end 262
return 1 and 0
start 264 end 264
return 1 and 0
start 266 end 267
start 269 end 269
return 1 and 0
start 271 end 399
 main execution 
hellend 
at 381 and 399
pivindex SEARS LAWRENCE        704-260-4673 and end is SINGLETON KRISTIN        533-871-3422
info SPEARS CONNIE        351-570-2398 swapped w/ SCHROEDER WILLIAM        835-803-9371
joe
 inc is 291 dec 397
info SHAW JERROLD        710-836-9167 swapped w/ POOLE LUPE        602-149-8534
joe
 inc is 294 dec 396
info SERRANO SADIE        520-385-6677 swapped w/ MORTON TOMMY        970-878-9960
joe
 inc is 303 dec 393
info SHORT ALLISON        339-917-5221 swapped w/ MCNEIL HERMAN        780-280-1234
joe
 inc is 307 dec 392
info SHAW CLAUDIA        463-956-7879 swapped w/ PARRISH TIM        953-731-4520
joe
 inc is 316 dec 391
info SHEPPARD WILLIE        803-977-8057 swapped w/ ROWLAND ROBBY        621-406-6482
joe
 inc is 319 dec 390
info SKINNER DANA        758-618-4429 swapped w/ PIERCE JONI        601-261-4398
joe
 inc is 324 dec 388
info SIMPSON BENNY        789-927-6993 swapped w/ SAWYER HAL        447-531-7728
joe
 inc is 338 dec 387
info SKINNER THANH        324-151-7069 swapped w/ MEJIA BERT        864-800-1614
joe
 inc is 340 dec 386
info SNYDER ETHEL        812-958-7440 swapped w/ POOLE KATHERYN        770-835-8703
joe
 inc is 364 dec 385
info SIMPSON MARIANA        687-148-9388 swapped w/ NORTON ROSALYN        472-466-1135
joe
 inc is 365 dec 383
info SINGLETON KRISTIN        533-871-3422 swapped w/ RODRIGUEZ MELODY        742-256-9219
joe
 inc is 382 dec 382
 inc is 383 dec 382
start 271 end 382
 main execution 
hellend 
at 382 and 382
pivindex ROMERO GAIL        583-233-2525 and end is ROMERO GAIL        583-233-2525
info SEARS JOLENE        556-733-1984 swapped w/ RODRIGUEZ MELODY        742-256-9219
joe
 inc is 288 dec 380
info SCHROEDER WILLIAM        835-803-9371 swapped w/ RIVERS RAQUEL        859-348-3647
joe
 inc is 291 dec 379
info ROSS DANA        943-520-6462 swapped w/ MORGAN ROXANNE        824-488-8481
joe
 inc is 304 dec 378
info SAWYER KATINA        203-958-2322 swapped w/ MORRISON JOY        295-106-3632
joe
 inc is 305 dec 377
info RUIZ LESLEY        421-537-8594 swapped w/ MORIN ISABELLE        492-968-9949
joe
 inc is 310 dec 376
info SALAS STERLING        586-806-8783 swapped w/ PATRICK JACQUELYN        649-842-6234
joe
 inc is 311 dec 375
info ROSE ESTER        745-503-1373 swapped w/ PECK CALLIE        489-341-1306
joe
 inc is 312 dec 374
info ROWLAND ROBBY        621-406-6482 swapped w/ MCLAUGHLIN VICKIE        654-710-1595
joe
 inc is 319 dec 372
info SAMPSON MOLLY        206-568-2104 swapped w/ ROBERSON WAYNE        589-979-5370
joe
 inc is 320 dec 370
info SCHULTZ HERSHEL        284-493-9741 swapped w/ NOLAN ORA        303-632-4697
joe
 inc is 323 dec 369
info ROWLAND JACKLYN        716-269-3532 swapped w/ PARKER ELSA        693-779-3244
joe
 inc is 325 dec 368
info SCHROEDER MICKEY        730-186-3375 swapped w/ MELENDEZ WELDON        573-373-7129
joe
 inc is 327 dec 367
info SAVAGE HERMINIA        246-333-9745 swapped w/ PRICE STEVEN        494-795-7029
joe
 inc is 328 dec 365
info SAWYER HAL        447-531-7728 swapped w/ MERCADO HARRISON        649-616-2248
joe
 inc is 338 dec 364
info SEARS CARLENE        617-648-3152 swapped w/ NORTON ROSALYN        472-466-1135
joe
 inc is 339 dec 363
info SANTOS SAUL        715-582-3626 swapped w/ POOLE KATHERYN        770-835-8703
joe
 inc is 359 dec 362
 inc is 363 dec 362
start 271 end 362
 main execution 
hellend 
at 341 and 362
pivindex ROBERTSON HILLARY        275-507-6597 and end is MENDEZ JODY        737-487-3592
info RODRIGUEZ MELODY        742-256-9219 swapped w/ MELTON STEPHEN        261-556-3378
joe
 inc is 288 dec 360
info RODRIQUEZ LESLIE        242-510-8006 swapped w/ MERRILL DENIS        807-925-4019
joe
 inc is 289 dec 359
info ROBERTSON MELBA        824-221-1694 swapped w/ ONEAL ROSA        546-812-3235
joe
 inc is 313 dec 358
 inc is 359 dec 358
start 271 end 358
 main execution 
hellend 
at 306 and 358
pivindex MCNEIL HERMAN        780-280-1234 and end is POOLE KATHERYN        770-835-8703
info PACHECO TAMARA        428-924-3933 swapped w/ MCLAUGHLIN VICKIE        654-710-1595
joe
 inc is 272 dec 317
info NORTON MICAH        506-581-2299 swapped w/ MCKINNEY NORBERTO        637-419-1293
joe
 inc is 273 dec 279
info MERCADO TIA        749-431-2579 swapped w/ MCMAHON EMMA        487-983-1200
joe
 inc is 274 dec 275
 inc is 274 dec 273
start 271 end 273
 main execution 
hellend 
at 273 and 273
pivindex MCMAHON EMMA        487-983-1200 and end is MCMAHON EMMA        487-983-1200
 inc is 273 dec 272
start 271 end 272
start 274 end 273
return 1 and -1
start 275 end 358
 main execution 
hellend 
at 358 and 358
pivindex ORTEGA CARA        644-971-3610 and end is ORTEGA CARA        644-971-3610
info POWERS SIDNEY        456-941-8694 swapped w/ MEDINA KARIN        282-828-8320
joe
 inc is 283 dec 350
info PITTS FLOYD        646-652-8446 swapped w/ NEWMAN MAI        850-647-4200
joe
 inc is 286 dec 349
info PITTMAN ORVILLE        979-431-7680 swapped w/ MOSS VONDA        541-568-5752
joe
 inc is 287 dec 346
info PUGH AMBER        897-351-2232 swapped w/ MIDDLETON SEYMOUR        384-824-3024
joe
 inc is 290 dec 345
info RIVERS RAQUEL        859-348-3647 swapped w/ MOLINA VALENTIN        846-788-8911
joe
 inc is 291 dec 341
info RIOS MADGE        783-342-1637 swapped w/ MENDEZ JODY        737-487-3592
joe
 inc is 292 dec 340
info POOLE LUPE        602-149-8534 swapped w/ MEJIA BERT        864-800-1614
joe
 inc is 294 dec 338
info PARRISH LUKE        277-555-1011 swapped w/ NORTON ROSALYN        472-466-1135
joe
 inc is 295 dec 337
info RAY BETSY        569-749-8612 swapped w/ MERCADO HARRISON        649-616-2248
joe
 inc is 296 dec 336
info POOLE NORMAN        853-462-2567 swapped w/ MUELLER SAM        586-890-1076
joe
 inc is 299 dec 334
info POWELL ARACELI        964-931-2960 swapped w/ MOSS BRADLEY        590-161-1011
joe
 inc is 306 dec 332
info POOLE KATHERYN        770-835-8703 swapped w/ MOSS LADONNA        601-976-6488
joe
 inc is 307 dec 331
info RIVERS DENNIS        833-724-8902 swapped w/ ORR REFUGIO        857-778-4960
joe
 inc is 308 dec 330
info PHELPS AMBER        940-155-9343 swapped w/ NELSON LEONARD        660-421-1958
joe
 inc is 309 dec 328
info PATRICK JACQUELYN        649-842-6234 swapped w/ MOORE LYNNE        283-154-6491
joe
 inc is 311 dec 327
info PECK CALLIE        489-341-1306 swapped w/ MELENDEZ WELDON        573-373-7129
joe
 inc is 312 dec 325
info POTTS JARED        260-997-6760 swapped w/ NOLAN ORA        303-632-4697
joe
 inc is 314 dec 321
info ROBERSON CRAIG        646-987-9430 swapped w/ MOLINA EDMOND        627-388-4411
joe
 inc is 315 dec 320
info PARRISH TIM        953-731-4520 swapped w/ ONEAL DAVID        609-750-1857
joe
 inc is 316 dec 315
start 275 end 315
 main execution 
hellend 
at 315 and 315
pivindex ONEAL DAVID        609-750-1857 and end is ONEAL DAVID        609-750-1857
info ORR TOBY        760-136-8884 swapped w/ MOLINA EDMOND        627-388-4411
joe
 inc is 278 dec 313
info ORR REFUGIO        857-778-4960 swapped w/ NOLAN ORA        303-632-4697
joe
 inc is 308 dec 312
 inc is 312 dec 311
start 275 end 311
 main execution 
hellend 
at 311 and 311
pivindex MELENDEZ WELDON        573-373-7129 and end is MELENDEZ WELDON        573-373-7129
info MOON LANDON        277-939-3853 swapped w/ MEJIA BERT        864-800-1614
joe
 inc is 276 dec 292
info MERCADO TIA        749-431-2579 swapped w/ MEDINA KARIN        282-828-8320
joe
 inc is 277 dec 281
 inc is 277 dec 276
start 275 end 276
start 278 end 311
 main execution 
hellend 
at 311 and 311
pivindex MOLINA EDMOND        627-388-4411 and end is MOLINA EDMOND        627-388-4411
info OBRIEN ELOISE        816-141-3421 swapped w/ MENDOZA ROSS        210-740-3422
joe
 inc is 279 dec 299
info MUNOZ PANSY        474-851-6445 swapped w/ MIDDLETON ANTWAN        251-704-1538
joe
 inc is 280 dec 295
info NORTON MICAH        506-581-2299 swapped w/ MERCADO HARRISON        649-616-2248
joe
 inc is 281 dec 294
info OBRIEN TOBY        884-682-9271 swapped w/ MEYERS KELVIN        926-147-9067
joe
 inc is 282 dec 291
info MORGAN QUENTIN        654-597-7633 swapped w/ MENDEZ JODY        737-487-3592
joe
 inc is 284 dec 290
info NEWMAN MAI        850-647-4200 swapped w/ MIDDLETON SEYMOUR        384-824-3024
joe
 inc is 286 dec 288
info MOSS VONDA        541-568-5752 swapped w/ MERRILL DENIS        807-925-4019
joe
 inc is 287 dec 287
 inc is 288 dec 287
start 278 end 287
 main execution 
hellend 
at 287 and 287
pivindex MELTON STEPHEN        261-556-3378 and end is MELTON STEPHEN        261-556-3378
info MENDOZA ROSS        210-740-3422 swapped w/ MENDOZA ROSS        210-740-3422
joe
 inc is 279 dec 277
start 278 end 278
return 1 and 0
start 280 end 287
 main execution 
hellend 
at 287 and 287
pivindex MIDDLETON ANTWAN        251-704-1538 and end is MIDDLETON ANTWAN        251-704-1538
info MILES OLGA        327-837-1176 swapped w/ MERRILL DENIS        807-925-4019
joe
 inc is 285 dec 285
 inc is 285 dec 284
start 280 end 284
 main execution 
hellend 
at 284 and 284
pivindex MERRILL DENIS        807-925-4019 and end is MERRILL DENIS        807-925-4019
info MEYERS KELVIN        926-147-9067 swapped w/ MENDEZ JODY        737-487-3592
joe
 inc is 282 dec 282
 inc is 283 dec 282
start 280 end 282
 main execution 
hellend 
at 282 and 282
pivindex MERCADO TIA        749-431-2579 and end is MERCADO TIA        749-431-2579
 inc is 282 dec 281
start 280 end 281
start 283 end 282
return 1 and -1
start 284 end 284
return 1 and 0
start 286 end 287
start 289 end 311
 main execution 
hellend 
at 311 and 311
pivindex MOSS VONDA        541-568-5752 and end is MOSS VONDA        541-568-5752
info NEWMAN MAI        850-647-4200 swapped w/ MOORE LYNNE        283-154-6491
joe
 inc is 290 dec 309
info OBRIEN TOBY        884-682-9271 swapped w/ MORIN ISABELLE        492-968-9949
joe
 inc is 293 dec 308
info NORTON ROSALYN        472-466-1135 swapped w/ MOSS LADONNA        601-976-6488
joe
 inc is 295 dec 305
info NORTON MICAH        506-581-2299 swapped w/ MOSS BRADLEY        590-161-1011
joe
 inc is 296 dec 304
info MUNOZ PANSY        474-851-6445 swapped w/ MORRISON JOY        295-106-3632
joe
 inc is 297 dec 303
info OLSEN CANDY        451-315-1562 swapped w/ MORGAN ROXANNE        824-488-8481
joe
 inc is 298 dec 302
info MUELLER SAM        586-890-1076 swapped w/ MORTON TOMMY        970-878-9960
joe
 inc is 299 dec 301
 inc is 299 dec 298
start 289 end 298
 main execution 
hellend 
at 298 and 298
pivindex MORTON TOMMY        970-878-9960 and end is MORTON TOMMY        970-878-9960
info MOSS LADONNA        601-976-6488 swapped w/ MORGAN ROXANNE        824-488-8481
joe
 inc is 295 dec 296
info MOSS BRADLEY        590-161-1011 swapped w/ MORRISON JOY        295-106-3632
joe
 inc is 296 dec 295
start 289 end 295
 main execution 
hellend 
at 295 and 295
pivindex MORRISON JOY        295-106-3632 and end is MORRISON JOY        295-106-3632
 inc is 295 dec 294
start 289 end 294
 main execution 
hellend 
at 294 and 294
pivindex MORGAN ROXANNE        824-488-8481 and end is MORGAN ROXANNE        824-488-8481
info MORIN ISABELLE        492-968-9949 swapped w/ MOON LANDON        277-939-3853
joe
 inc is 293 dec 292
start 289 end 292
 main execution 
hellend 
at 292 and 292
pivindex MOON LANDON        277-939-3853 and end is MOON LANDON        277-939-3853
info MOORE LYNNE        283-154-6491 swapped w/ MOLINA VALENTIN        846-788-8911
joe
 inc is 290 dec 289
start 289 end 289
return 1 and 0
start 291 end 292
start 294 end 294
return 1 and 0
start 296 end 295
return 1 and -1
start 297 end 298
start 300 end 311
 main execution 
hellend 
at 311 and 311
pivindex NICHOLS MELISA        428-193-5171 and end is NICHOLS MELISA        428-193-5171
info OBRIEN ELOISE        816-141-3421 swapped w/ NEWMAN MAI        850-647-4200
joe
 inc is 301 dec 309
info OLSEN CANDY        451-315-1562 swapped w/ NELSON LEONARD        660-421-1958
joe
 inc is 304 dec 307
 inc is 305 dec 304
start 300 end 304
 main execution 
hellend 
at 304 and 304
pivindex MUNOZ PANSY        474-851-6445 and end is MUNOZ PANSY        474-851-6445
info NEWMAN MAI        850-647-4200 swapped w/ MUELLER SAM        586-890-1076
joe
 inc is 301 dec 301
 inc is 302 dec 301
start 300 end 301
start 303 end 304
start 306 end 311
 main execution 
hellend 
at 311 and 311
pivindex NORTON MICAH        506-581-2299 and end is NORTON MICAH        506-581-2299
info NORTON ROSALYN        472-466-1135 swapped w/ NOLAN ORA        303-632-4697
joe
 inc is 307 dec 306
start 306 end 306
return 1 and 0
start 308 end 311
 main execution 
hellend 
at 311 and 311
pivindex NORTON ROSALYN        472-466-1135 and end is NORTON ROSALYN        472-466-1135
info OLSEN CANDY        451-315-1562 swapped w/ OLSEN CANDY        451-315-1562
joe
 inc is 309 dec 307
start 308 end 308
return 1 and 0
start 310 end 311
start 313 end 315
 main execution 
hellend 
at 315 and 315
pivindex ONEAL ROSA        546-812-3235 and end is ONEAL ROSA        546-812-3235
info ORR REFUGIO        857-778-4960 swapped w/ ORR REFUGIO        857-778-4960
joe
 inc is 314 dec 312
start 313 end 313
return 1 and 0
start 315 end 315
return 1 and 0
start 317 end 358
 main execution 
hellend 
at 322 and 358
pivindex POTTS JARED        260-997-6760 and end is PARRISH TIM        953-731-4520
info ROBERTS ALISSA        896-526-6847 swapped w/ POLLARD ILA        763-624-4226
joe
 inc is 318 dec 353
info ROBERSON WAYNE        589-979-5370 swapped w/ POTTS FRANCIS        372-572-9572
joe
 inc is 320 dec 352
info RAY TRINIDAD        812-852-6611 swapped w/ PERKINS LILIA        271-122-5205
joe
 inc is 321 dec 351
info ROBERSON CRAIG        646-987-9430 swapped w/ PITTS FLOYD        646-652-8446
joe
 inc is 322 dec 349
info PRICE BELINDA        578-618-3800 swapped w/ POTTER ISABEL        450-813-5453
joe
 inc is 326 dec 348
info PRICE STEVEN        494-795-7029 swapped w/ OSBORNE MICHELE        646-925-8624
joe
 inc is 328 dec 347
info REID VIOLA        703-169-1053 swapped w/ PITTMAN ORVILLE        979-431-7680
joe
 inc is 331 dec 346
info RIVERS DENNIS        833-724-8902 swapped w/ POOLE LUPE        602-149-8534
joe
 inc is 332 dec 338
info POWELL ARACELI        964-931-2960 swapped w/ PARRISH LUKE        277-555-1011
joe
 inc is 334 dec 337
info RICHARDS DON        438-851-6415 swapped w/ POOLE NORMAN        853-462-2567
joe
 inc is 335 dec 334
start 317 end 334
 main execution 
hellend 
at 334 and 334
pivindex POOLE NORMAN        853-462-2567 and end is POOLE NORMAN        853-462-2567
info POTTS FRANCIS        372-572-9572 swapped w/ PARRISH LUKE        277-555-1011
joe
 inc is 320 dec 332
info POTTER ISABEL        450-813-5453 swapped w/ POOLE KATHERYN        770-835-8703
joe
